"COVID-19_Season","Week_ID","Current_Season_Week_Ending_Label","MMWR_Week_Order","MMWR_Year","MMWR_Week","MMWR_Day","Setting","Doses","Cumulative_Doses","Location_and_Flu_Season_Order","Current_Through","Age_Group"
"2023-2024","2023 Nov 04 12:00:00 AM","2024 Nov 02 12:00:00 AM","10","2,023","44","7","Physician Medical Office","82,557","381,350","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Nov 04 12:00:00 AM","2024 Nov 02 12:00:00 AM","10","2,023","44","7","Physician Medical Office","41,594","200,378","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Nov 11 12:00:00 AM","2024 Nov 09 12:00:00 AM","11","2,023","45","7","Physician Medical Office","186,352","1,046,216","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Nov 11 12:00:00 AM","2024 Nov 09 12:00:00 AM","11","2,023","45","7","Physician Medical Office","56,862","302,273","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Nov 11 12:00:00 AM","2024 Nov 09 12:00:00 AM","11","2,023","45","7","Physician Medical Office","109,305","587,816","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Nov 11 12:00:00 AM","2024 Nov 09 12:00:00 AM","11","2,023","45","7","Physician Medical Office","52,443","285,544","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Nov 11 12:00:00 AM","2024 Nov 09 12:00:00 AM","11","2,023","45","7","Physician Medical Office","61,994","343,608","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Nov 11 12:00:00 AM","2024 Nov 09 12:00:00 AM","11","2,023","45","7","Physician Medical Office","77,047","458,397","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Nov 11 12:00:00 AM","2024 Nov 09 12:00:00 AM","11","2,023","45","7","Physician Medical Office","37,562","237,940","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Nov 18 12:00:00 AM","2024 Nov 16 12:00:00 AM","12","2,023","46","7","Physician Medical Office","175,668","1,221,884","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Nov 18 12:00:00 AM","2024 Nov 16 12:00:00 AM","12","2,023","46","7","Physician Medical Office","54,067","356,340","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Nov 18 12:00:00 AM","2024 Nov 16 12:00:00 AM","12","2,023","46","7","Physician Medical Office","103,525","691,341","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Nov 18 12:00:00 AM","2024 Nov 16 12:00:00 AM","12","2,023","46","7","Physician Medical Office","49,458","335,002","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Nov 18 12:00:00 AM","2024 Nov 16 12:00:00 AM","12","2,023","46","7","Physician Medical Office","60,711","404,319","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Nov 18 12:00:00 AM","2024 Nov 16 12:00:00 AM","12","2,023","46","7","Physician Medical Office","72,143","530,540","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Nov 18 12:00:00 AM","2024 Nov 16 12:00:00 AM","12","2,023","46","7","Physician Medical Office","33,501","271,441","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Nov 25 12:00:00 AM","2024 Nov 23 12:00:00 AM","13","2,023","47","7","Physician Medical Office","102,225","1,324,109","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Nov 25 12:00:00 AM","2024 Nov 23 12:00:00 AM","13","2,023","47","7","Physician Medical Office","37,376","393,716","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Nov 25 12:00:00 AM","2024 Nov 23 12:00:00 AM","13","2,023","47","7","Physician Medical Office","65,996","757,337","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Nov 25 12:00:00 AM","2024 Nov 23 12:00:00 AM","13","2,023","47","7","Physician Medical Office","28,620","363,622","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Nov 25 12:00:00 AM","2024 Nov 23 12:00:00 AM","13","2,023","47","7","Physician Medical Office","31,259","435,578","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Nov 25 12:00:00 AM","2024 Nov 23 12:00:00 AM","13","2,023","47","7","Physician Medical Office","36,229","566,769","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Nov 25 12:00:00 AM","2024 Nov 23 12:00:00 AM","13","2,023","47","7","Physician Medical Office","16,915","288,356","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Dec 02 12:00:00 AM","2024 Nov 30 12:00:00 AM","14","2,023","48","7","Physician Medical Office","141,610","1,465,719","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Dec 02 12:00:00 AM","2024 Nov 30 12:00:00 AM","14","2,023","48","7","Physician Medical Office","45,948","439,664","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Dec 02 12:00:00 AM","2024 Nov 30 12:00:00 AM","14","2,023","48","7","Physician Medical Office","87,587","844,924","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Dec 02 12:00:00 AM","2024 Nov 30 12:00:00 AM","14","2,023","48","7","Physician Medical Office","41,639","405,261","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Dec 02 12:00:00 AM","2024 Nov 30 12:00:00 AM","14","2,023","48","7","Physician Medical Office","47,113","482,691","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Dec 02 12:00:00 AM","2024 Nov 30 12:00:00 AM","14","2,023","48","7","Physician Medical Office","54,023","620,792","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Dec 02 12:00:00 AM","2024 Nov 30 12:00:00 AM","14","2,023","48","7","Physician Medical Office","24,739","313,095","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Dec 09 12:00:00 AM","2024 Dec 07 12:00:00 AM","15","2,023","49","7","Physician Medical Office","122,485","1,588,204","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Dec 09 12:00:00 AM","2024 Dec 07 12:00:00 AM","15","2,023","49","7","Physician Medical Office","40,268","479,932","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Dec 09 12:00:00 AM","2024 Dec 07 12:00:00 AM","15","2,023","49","7","Physician Medical Office","76,182","921,106","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Dec 09 12:00:00 AM","2024 Dec 07 12:00:00 AM","15","2,023","49","7","Physician Medical Office","35,913","441,174","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Dec 09 12:00:00 AM","2024 Dec 07 12:00:00 AM","15","2,023","49","7","Physician Medical Office","40,368","523,059","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Dec 09 12:00:00 AM","2024 Dec 07 12:00:00 AM","15","2,023","49","7","Physician Medical Office","46,303","667,095","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Dec 09 12:00:00 AM","2024 Dec 07 12:00:00 AM","15","2,023","49","7","Physician Medical Office","20,869","333,964","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Dec 16 12:00:00 AM","2024 Dec 14 12:00:00 AM","16","2,023","50","7","Physician Medical Office","112,670","1,700,874","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Dec 16 12:00:00 AM","2024 Dec 14 12:00:00 AM","16","2,023","50","7","Physician Medical Office","37,731","517,663","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Dec 16 12:00:00 AM","2024 Dec 14 12:00:00 AM","16","2,023","50","7","Physician Medical Office","71,964","993,070","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Dec 16 12:00:00 AM","2024 Dec 14 12:00:00 AM","16","2,023","50","7","Physician Medical Office","34,233","475,407","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Dec 16 12:00:00 AM","2024 Dec 14 12:00:00 AM","16","2,023","50","7","Physician Medical Office","37,123","560,182","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Dec 16 12:00:00 AM","2024 Dec 14 12:00:00 AM","16","2,023","50","7","Physician Medical Office","40,705","707,800","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Dec 16 12:00:00 AM","2024 Dec 14 12:00:00 AM","16","2,023","50","7","Physician Medical Office","17,865","351,829","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Dec 23 12:00:00 AM","2024 Dec 21 12:00:00 AM","17","2,023","51","7","Physician Medical Office","100,656","1,801,530","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Dec 23 12:00:00 AM","2024 Dec 21 12:00:00 AM","17","2,023","51","7","Physician Medical Office","38,624","556,287","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Dec 23 12:00:00 AM","2024 Dec 21 12:00:00 AM","17","2,023","51","7","Physician Medical Office","67,844","1,060,914","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Dec 23 12:00:00 AM","2024 Dec 21 12:00:00 AM","17","2,023","51","7","Physician Medical Office","29,219","504,626","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Dec 23 12:00:00 AM","2024 Dec 21 12:00:00 AM","17","2,023","51","7","Physician Medical Office","30,891","591,073","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Dec 23 12:00:00 AM","2024 Dec 21 12:00:00 AM","17","2,023","51","7","Physician Medical Office","32,812","740,612","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Dec 23 12:00:00 AM","2024 Dec 21 12:00:00 AM","17","2,023","51","7","Physician Medical Office","13,921","365,750","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2023 Dec 30 12:00:00 AM","2024 Dec 28 12:00:00 AM","18","2,023","52","7","Physician Medical Office","52,975","1,854,505","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2023 Dec 30 12:00:00 AM","2024 Dec 28 12:00:00 AM","18","2,023","52","7","Physician Medical Office","20,708","576,995","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2023 Dec 30 12:00:00 AM","2024 Dec 28 12:00:00 AM","18","2,023","52","7","Physician Medical Office","36,695","1,097,609","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2023 Dec 30 12:00:00 AM","2024 Dec 28 12:00:00 AM","18","2,023","52","7","Physician Medical Office","15,987","520,613","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2023 Dec 30 12:00:00 AM","2024 Dec 28 12:00:00 AM","18","2,023","52","7","Physician Medical Office","15,368","606,441","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2023 Dec 30 12:00:00 AM","2024 Dec 28 12:00:00 AM","18","2,023","52","7","Physician Medical Office","16,280","756,892","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2023 Dec 30 12:00:00 AM","2024 Dec 28 12:00:00 AM","18","2,023","52","7","Physician Medical Office","7,115","372,865","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2024 Jan 06 12:00:00 AM","2025 Jan 04 12:00:00 AM","20","2,024","1","7","Physician Medical Office","64,958","1,919,463","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2024 Jan 06 12:00:00 AM","2025 Jan 04 12:00:00 AM","20","2,024","1","7","Physician Medical Office","25,792","602,787","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2024 Jan 06 12:00:00 AM","2025 Jan 04 12:00:00 AM","20","2,024","1","7","Physician Medical Office","42,952","1,140,561","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2024 Jan 06 12:00:00 AM","2025 Jan 04 12:00:00 AM","20","2,024","1","7","Physician Medical Office","17,160","537,773","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2024 Jan 06 12:00:00 AM","2025 Jan 04 12:00:00 AM","20","2,024","1","7","Physician Medical Office","19,020","625,461","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2024 Jan 06 12:00:00 AM","2025 Jan 04 12:00:00 AM","20","2,024","1","7","Physician Medical Office","22,006","778,898","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2024 Jan 06 12:00:00 AM","2025 Jan 04 12:00:00 AM","20","2,024","1","7","Physician Medical Office","10,090","382,955","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2024 Jan 13 12:00:00 AM","2025 Jan 11 12:00:00 AM","21","2,024","2","7","Physician Medical Office","74,681","1,994,144","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2024 Jan 13 12:00:00 AM","2025 Jan 11 12:00:00 AM","21","2,024","2","7","Physician Medical Office","29,413","632,200","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2024 Jan 13 12:00:00 AM","2025 Jan 11 12:00:00 AM","21","2,024","2","7","Physician Medical Office","49,712","1,190,273","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2024 Jan 13 12:00:00 AM","2025 Jan 11 12:00:00 AM","21","2,024","2","7","Physician Medical Office","20,299","558,072","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2024 Jan 13 12:00:00 AM","2025 Jan 11 12:00:00 AM","21","2,024","2","7","Physician Medical Office","22,081","647,542","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2024 Jan 13 12:00:00 AM","2025 Jan 11 12:00:00 AM","21","2,024","2","7","Physician Medical Office","24,969","803,867","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2024 Jan 13 12:00:00 AM","2025 Jan 11 12:00:00 AM","21","2,024","2","7","Physician Medical Office","10,895","393,850","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2024 Jan 20 12:00:00 AM","2025 Jan 18 12:00:00 AM","22","2,024","3","7","Physician Medical Office","54,167","2,048,311","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2024 Jan 20 12:00:00 AM","2025 Jan 18 12:00:00 AM","22","2,024","3","7","Physician Medical Office","21,028","653,228","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2024 Jan 20 12:00:00 AM","2025 Jan 18 12:00:00 AM","22","2,024","3","7","Physician Medical Office","36,021","1,226,294","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2024 Jan 20 12:00:00 AM","2025 Jan 18 12:00:00 AM","22","2,024","3","7","Physician Medical Office","14,993","573,065","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2024 Jan 20 12:00:00 AM","2025 Jan 18 12:00:00 AM","22","2,024","3","7","Physician Medical Office","16,630","664,172","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2024 Jan 20 12:00:00 AM","2025 Jan 18 12:00:00 AM","22","2,024","3","7","Physician Medical Office","18,147","822,014","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2024 Jan 20 12:00:00 AM","2025 Jan 18 12:00:00 AM","22","2,024","3","7","Physician Medical Office","7,764","401,614","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2024 Jan 27 12:00:00 AM","2025 Jan 25 12:00:00 AM","23","2,024","4","7","Physician Medical Office","57,586","2,105,897","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2024 Jan 27 12:00:00 AM","2025 Jan 25 12:00:00 AM","23","2,024","4","7","Physician Medical Office","22,711","675,939","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2024 Jan 27 12:00:00 AM","2025 Jan 25 12:00:00 AM","23","2,024","4","7","Physician Medical Office","38,472","1,264,766","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2024 Jan 27 12:00:00 AM","2025 Jan 25 12:00:00 AM","23","2,024","4","7","Physician Medical Office","15,761","588,826","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2024 Jan 27 12:00:00 AM","2025 Jan 25 12:00:00 AM","23","2,024","4","7","Physician Medical Office","16,147","680,319","38","2025 Apr 12 12:00:00 AM","60-74"
"2023-2024","2024 Jan 27 12:00:00 AM","2025 Jan 25 12:00:00 AM","23","2,024","4","7","Physician Medical Office","19,114","841,128","38","2025 Apr 12 12:00:00 AM","65+"
"2023-2024","2024 Jan 27 12:00:00 AM","2025 Jan 25 12:00:00 AM","23","2,024","4","7","Physician Medical Office","8,976","410,590","38","2025 Apr 12 12:00:00 AM","75+"
"2023-2024","2024 Feb 03 12:00:00 AM","2025 Feb 01 12:00:00 AM","24","2,024","5","7","Physician Medical Office","54,044","2,159,941","38","2025 Apr 12 12:00:00 AM","18+"
"2023-2024","2024 Feb 03 12:00:00 AM","2025 Feb 01 12:00:00 AM","24","2,024","5","7","Physician Medical Office","21,700","697,639","38","2025 Apr 12 12:00:00 AM","18-49"
"2023-2024","2024 Feb 03 12:00:00 AM","2025 Feb 01 12:00:00 AM","24","2,024","5","7","Physician Medical Office","36,734","1,301,500","38","2025 Apr 12 12:00:00 AM","18-64"
"2023-2024","2024 Feb 03 12:00:00 AM","2025 Feb 01 12:00:00 AM","24","2,024","5","7","Physician Medical Office","15,034","603,860","38","2025 Apr 12 12:00:00 AM","50-64"
"2023-2024","2024 Feb 03 12:00:00 AM","2025 Feb 01 12:00:00 AM","24","2,024","5","7","Physician Medical Office","15,337","695,656","38","2025 Apr 12 12:00:00 AM","60-74"
